pro_NEIS1635,species,label
6,#00FA00,Multiple
1,#FF2600,N.gonorrhoeae
2,#FF2600,N.gonorrhoeae
14,#FF2600,N.gonorrhoeae
8,#FF2600,N.gonorrhoeae
3,#00FA00,Multiple
15,#0432FF,N.meningitidis
21,#0432FF,N.meningitidis
17,#00FA00,Multiple
7,#00FA00,Multiple
5,#00FA00,Multiple
19,#0432FF,N.meningitidis
10,#0432FF,N.meningitidis
22,#00FA00,Multiple
16,#00FA00,Multiple
9,#00FA00,Multiple
23,#00FA00,Multiple
12,#00FA00,Multiple
4,#00FA00,Multiple
18,#00FA00,Multiple
13,#00FA00,Multiple
11,#00FA00,Multiple
