pro_NEIS1635,Colour,Label
6,#0D2677,New Data
1,#0D2677,New Data
2,#C5D8D9,Neisseria Data
14,#C5D8D9,Neisseria Data
8,#0D2677,New Data
3,#0D2677,New Data
15,#C5D8D9,Neisseria Data
21,#C5D8D9,Neisseria Data
17,#C5D8D9,Neisseria Data
7,#C5D8D9,Neisseria Data
5,#C5D8D9,Neisseria Data
19,#C5D8D9,Neisseria Data
10,#C5D8D9,Neisseria Data
22,#C5D8D9,Neisseria Data
16,#C5D8D9,Neisseria Data
9,#C5D8D9,Neisseria Data
23,#C5D8D9,Neisseria Data
12,#C5D8D9,Neisseria Data
4,#C5D8D9,Neisseria Data
18,#C5D8D9,Neisseria Data
13,#C5D8D9,Neisseria Data
11,#C5D8D9,Neisseria Data
